mz,rt,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
824.6538,36.02921667,937809.9,2650273,73243.92046,2158911,8058817,610803.5164
824.6695,36.18095,3166982,6952496,1628057.394,7480112,2246778,2340308
830.664,38.93993333,369939.2904,905154.4258,19259235,4720786,7225662,2015791.199
830.7003,38.36583333,4183282,6941030.895,15343445,7307229,4455003,78659.14213
832.5838,33.15345,5352699,2107545,9842884,3716436,1251510.848,6538264.285
832.5863,31.52401667,1248753,29858099,2597083,4455596,19650197,603348.1
834.6019,33.0541,9161332,5902411,6351643,1265074.982,28894667,54575526
834.6021,32.131,115680.1996,38106808,11737387,31946082,3987321,21276987
836.5448,29.84468333,1941142.371,10363290,2379819,40860.45904,37561641,2690059
836.6172,33.58565,8422691.565,1291991,477635.2072,2577466,2605441.827,24919251
836.612,33.06193333,9911835,18662193.31,6739436,545500.5,3129135,2363009.084
836.6176,33.18656667,4242847,1675905,556019.2,2994089.803,23606786.45,15333697
838.5601,30.39333333,22538517.77,28201846,0,16706257,23346913,18749064
838.6318,34.57345,15131955,9128345,5834617.262,930889.2,164405997,6012909
840.6481,35.28166667,8704381,56562200,10455143,8101420,542774.8781,6175388
842.664,36.33065,8081755,6636263,4888680,235427.1448,28852425,32117233
844.679,37.43483333,6688559.36,5024151,2608503.223,239873.1632,1353828,32729967
846.6947,38.59941667,14265258,4339415,107417175,10387219,248408.363,8808636
862.6326,33.96818333,4493028,13272474,30301107,22498526,15813024.27,174949.1
870.6952,37.7755,34612648,12290756,25933944,943570.7,6179281.872,8391655.323
878.7,37.79236667,3337140,176834683,4942028,610117.6,23547654,6143395
900.7429,40.13583333,9683073,20540507,7818940.128,245673.2,840755.2,4566659
57.07014653,18.39096273,24348115,2471721,10211549,202911653,5988771,1451968
57.07012723,12.46824697,2620915,4954313,5424525,704579,24136404,6315221
57.07013948,16.77967987,6625.165762,2123201,16152181,10220396,280800.6,4407590.204
57.07004578,16.875472,161313.2,24035585,15307519,790068.7,32835201,3552085
57.07008731,5.228100077,34221459,1943161.343,541888.1,19128150.14,314720.2368,10024912
67.05453923,16.78442282,1920731,2537170,4222703,97547143,17211568,3323573
69.03386031,2.252871703,8501380,3309558,6322772,4821902,22434557,9889078
71.08556148,18.3910909,25620534,307571.8,12591908,3440647.664,4680289,8242884
71.08549364,12.4681661,289552.0532,3921832,5195272,31616026,17201749,5269573
71.08551509,16.78195953,96809.70717,22928319,36100.84967,193207.8,3947939.204,34166168
